,0
origin_tags,0.834
origins,0.834
manufacturing_places,0.802
generic_name,0.76
packaging,0.551
packaging_tags,0.551
stores,0.499
labels,0.46
label_tags,0.46
ingredient_tags,0.399
ingredients_text,0.399
image_url,0.168
category_tags,0.113
categories,0.113
ecoscore_grade,0.094
brand,0.078
product_name,0.011
search_query,0.006
barcode,0.0
source,0.0
retrieval_method,0.0
countries,0.0
country_tags,0.0
ecoscore_score,0.0
created_datetime,0.0
last_modified_datetime,0.0
api_status,0.0
extraction_timestamp,0.0
