source,barcode,product_name,brand,categories,labels,label_tags,ecoscore_grade_clean,environmental_score,social_score,governance_score,ethics_score,overall_score,confidence_score,matched_labels,matched_score_groups,score_reasons,score_explanation,image_url
food,4014400400007,Toffifee 15er,Storck,Confectioneries,,[],unknown,50,50,50,50,50.0,15,[],[],[],No usable Eco-Score found; environmental score starts from the neutral baseline of 50. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/401/440/040/0007/front_en.638.400.jpg
beauty,3474637195809,Bain Décalcifiant Réparateur,Kérastase,Shampoos,,[],unknown,50,50,50,50,50.0,15,[],[],[],No usable Eco-Score found; environmental score starts from the neutral baseline of 50. No positive or negative label evidence found in the current mapping.,https://images.openbeautyfacts.org/images/products/347/463/719/5809/front_de.4.400.jpg
food,20815356,Dunkle Schokolade mit ganzen Haselnüssen,fin CARRE,fr:Barres chocolatées à la noix de coco,"Sustainable farming, Fairtrade cocoa, Made in Germany, Max Havelaar, Triman","['en:fair-trade', 'en:fairtrade-international', 'en:sustainable-farming', 'en:fairtrade-cocoa', 'en:made-in-germany', 'en:max-havelaar', 'fr:triman']",a,85,60,50,50,66.5,70,['Fairtrade International'],['fairtrade_certification'],"['Certification promotes fair prices, better working conditions, and sustainable livelihoods for farmers and workers in global supply chains.']",Environmental baseline uses Eco-Score a. Matched 1 scoring signal(s): Fairtrade International,https://images.openfoodfacts.org/images/products/000/002/081/5356/front_en.146.400.jpg
food,20029838,Hazelnut Milk Chocolate,fin CARRE,Milk chocolates with hazelnuts,"Fairtrade cocoa, Green Dot, Max Havelaar, UTZ Certified Cocoa","['en:fair-trade', 'en:fairtrade-international', 'en:sustainable-farming', 'en:fairtrade-cocoa', 'en:green-dot', 'en:max-havelaar', 'en:utz-certified', 'en:utz-certified-cocoa']",c,55,63,50,50,55.2,80,"['Fair for Life', 'UTZ Certified Cocoa']","['fairtrade_certification', 'sustainable_agriculture']","['Fair trade certification promoting fair wages, responsible supply chains, and sustainable livelihoods for producers and workers.', 'Cocoa-specific UTZ certification supporting sustainable agriculture and responsible supply chains.']","Environmental baseline uses Eco-Score c. Matched 2 scoring signal(s): Fair for Life, UTZ Certified Cocoa",https://images.openfoodfacts.org/images/products/000/002/002/9838/front_en.115.400.jpg
food,4014400932959,Toffifee weiße Schokolade,"Storck, Storck KG",Bonbons,"Green Dot, Limited edition","['en:green-dot', 'en:limited-edition']",unknown,50,50,50,50,50.0,15,[],[],[],No usable Eco-Score found; environmental score starts from the neutral baseline of 50. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/401/440/093/2959/front_en.111.400.jpg
food,20481940,Dunkle Ganze Mandel,"Fin carré, Lidl",Dark chocolates with almonds,"Fairtrade cocoa, FSC Mix, Green Dot, Max Havelaar, Nutriscore Grade E, pure cocoa butter, UTZ Certified, Triman, Fsc-c-021442, Fsc-c021, fr:Fairtrade Max Havekaar Cacao, fr:Fairtrade-cocoa-programme","['en:fair-trade', 'en:fairtrade-international', 'en:sustainable-farming', 'en:fairtrade-cocoa', 'en:fsc', 'en:fsc-mix', 'en:green-dot', 'en:max-havelaar', 'en:nutriscore', 'en:nutriscore-grade-e', 'en:pure-cocoa-butter', 'en:utz-certified', 'fr:triman', 'en:Fsc-c-021442', 'en:Fsc-c021', 'fr:Fairtrade Max Havekaar Cacao', 'fr:Fairtrade-cocoa-programme']",c,60,63,50,50,57.2,95,"['Fair for Life', 'UTZ Certified Cocoa', 'FSC']","['fairtrade_certification', 'sustainable_agriculture', 'sustainable_forestry']","['Fair trade certification promoting fair wages, responsible supply chains, and sustainable livelihoods for producers and workers.', 'Cocoa-specific UTZ certification supporting sustainable agriculture and responsible supply chains.', 'FSC certification promotes responsible forest management, sustainable sourcing of wood and paper products, and protection of biodiversity and ecosystems.']","Environmental baseline uses Eco-Score c. Matched 3 scoring signal(s): Fair for Life, UTZ Certified Cocoa, FSC",https://images.openfoodfacts.org/images/products/000/002/048/1940/front_de.116.400.jpg
food,8000500435618,"Eat Natural Vegan - Erdnüsse, Kokos & dunkle Schokolade","Eat Natural, Ferrero","Chocolate cereal bars, Fruits cereal bars","No gluten, Vegan, FSC Mix","['en:vegetarian', 'en:no-gluten', 'en:vegan', 'en:fsc', 'en:fsc-mix']",c,55,50,50,63,54.6,85,"['Vegan', 'FSC', 'Vegetarian']","['vegan_ethics', 'sustainable_forestry', 'vegetarian_ethics']","['Indicates products are free from animal-derived ingredients and support animal welfare principles.', 'FSC certification promotes responsible forest management, sustainable sourcing of wood and paper products, and protection of biodiversity and ecosystems.', 'Indicates reduced reliance on animal products and supports animal welfare considerations, though less strictly than vegan products.']","Environmental baseline uses Eco-Score c. Matched 3 scoring signal(s): Vegan, FSC, Vegetarian",https://images.openfoodfacts.org/images/products/800/050/043/5618/front_de.37.400.jpg
food,8711327370708,Chocolate Fudge Brownie,Ben & Jerry's,Chocolate ice cream tubs,"Vegetarian, Halal, Triman","['en:vegetarian', 'en:halal', 'fr:triman']",b,70,50,50,55,59.0,60,['Vegetarian'],['vegetarian_ethics'],"['Indicates reduced reliance on animal products and supports animal welfare considerations, though less strictly than vegan products.']",Environmental baseline uses Eco-Score b. Matched 1 scoring signal(s): Vegetarian,https://images.openfoodfacts.org/images/products/871/132/737/0708/front_en.161.400.jpg
food,7622210396334,Milka Choc & Choc,Milka,"Chocolate candies, Chocolate cakes, de:Kuchen mit Füllung und überzogen mit Schokolade",Green Dot,['en:green-dot'],d,30,50,50,50,42.0,55,[],[],[],Environmental baseline uses Eco-Score d. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/762/221/039/6334/front_en.78.400.jpg
food,8711327611924,Magnum Mini Almond,MAGNUM,Vanilla ice cream bars coated with milk chocolate and almonds,"No gluten, Rainforest Alliance Cocoa, Triman","['en:no-gluten', 'en:rainforest-alliance', 'en:rainforest-alliance-cocoa', 'fr:triman']",a-plus,90,53,50,50,66.8,65,['Rainforest Alliance'],['sustainable_agriculture'],"['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.']",Environmental baseline uses Eco-Score a-plus. Matched 1 scoring signal(s): Rainforest Alliance,https://images.openfoodfacts.org/images/products/871/132/761/1924/front_de.63.400.jpg
food,20154653,"Lebkuchen Hearts, Pretzels & Stars Zartbitter",Favorina,"Biscuits, Plain gingerbreads covered with chocolate","Vegan, Fairtrade cocoa, Green Dot, Made in Germany","['en:vegetarian', 'en:fair-trade', 'en:vegan', 'en:fairtrade-cocoa', 'en:green-dot', 'en:made-in-germany']",b,70,60,50,63,63.1,85,"['Fair for Life', 'Vegan', 'Vegetarian']","['fairtrade_certification', 'vegan_ethics', 'vegetarian_ethics']","['Fair trade certification promoting fair wages, responsible supply chains, and sustainable livelihoods for producers and workers.', 'Indicates products are free from animal-derived ingredients and support animal welfare principles.', 'Indicates reduced reliance on animal products and supports animal welfare considerations, though less strictly than vegan products.']","Environmental baseline uses Eco-Score b. Matched 3 scoring signal(s): Fair for Life, Vegan, Vegetarian",https://images.openfoodfacts.org/images/products/000/002/015/4653/front_de.131.400.jpg
food,4067796000306,Schoko Crunchy,dmBio,Mueslis with chocolate,Fairtrade International,"['en:fair-trade', 'en:fairtrade-international']",b,70,60,50,50,60.5,70,['Fairtrade International'],['fairtrade_certification'],"['Certification promotes fair prices, better working conditions, and sustainable livelihoods for farmers and workers in global supply chains.']",Environmental baseline uses Eco-Score b. Matched 1 scoring signal(s): Fairtrade International,https://images.openfoodfacts.org/images/products/406/779/600/0306/front_en.30.400.jpg
food,4056489223368,Eis Mandel,"Bon Gelati, Lidl, Lidl Bon Gelati",Vanilla ice cream bars coated with milk chocolate and almonds,"Green Dot, Nutriscore Grade E, Rainforest Alliance Cocoa, Triman","['en:green-dot', 'en:nutriscore', 'en:nutriscore-grade-e', 'en:rainforest-alliance', 'en:rainforest-alliance-cocoa', 'fr:triman']",a,90,53,50,50,66.8,65,['Rainforest Alliance'],['sustainable_agriculture'],"['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.']",Environmental baseline uses Eco-Score a. Matched 1 scoring signal(s): Rainforest Alliance,https://images.openfoodfacts.org/images/products/405/648/922/3368/front_en.42.400.jpg
food,8000500111581,Kinder Schokolade,Kinder,Chocolate confectionery with dairy filling,"No gluten, No preservatives, Green Dot, Limited edition","['en:no-gluten', 'en:no-preservatives', 'en:green-dot', 'en:limited-edition']",d,30,50,50,50,42.0,55,[],[],[],Environmental baseline uses Eco-Score d. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/800/050/011/1581/front_de.119.400.jpg
food,4011100005846,Peanut,m&m's,Chocolate covered peanuts,"Green Dot, Made in France","['en:green-dot', 'en:made-in-france']",e,15,50,50,50,36.0,55,[],[],[],Environmental baseline uses Eco-Score e. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/401/110/000/5846/front_en.93.400.jpg
food,8000500359884,Ferrero Rocher Haselnuss white,Ferrero Rocher,White chocolates with hazelnuts,Triman,['fr:triman'],f,5,50,50,50,32.0,55,[],[],[],Environmental baseline uses Eco-Score f. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/800/050/035/9884/front_en.101.400.jpg
food,4056489223351,Mini Mix Classic,BON Gelati,Ice cream bars coated with chocolate,"Fair trade, Do not freeze again, Rainforest Alliance Cocoa","['en:fair-trade', 'en:do-not-freeze-again', 'en:rainforest-alliance', 'en:rainforest-alliance-cocoa']",a,90,63,50,50,69.2,80,"['Fair for Life', 'Rainforest Alliance']","['fairtrade_certification', 'sustainable_agriculture']","['Fair trade certification promoting fair wages, responsible supply chains, and sustainable livelihoods for producers and workers.', 'Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.']","Environmental baseline uses Eco-Score a. Matched 2 scoring signal(s): Fair for Life, Rainforest Alliance",https://images.openfoodfacts.org/images/products/405/648/922/3351/front_de.44.400.jpg
food,3046920022071,Pistazie Feinherb,Lindt,Dark chocolates,Green Dot,['en:green-dot'],e,15,50,50,50,36.0,55,[],[],[],Environmental baseline uses Eco-Score e. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/304/692/002/2071/front_de.36.400.jpg
food,4011800571214,Corny Free Schoko,Corny,"Chocolate candies, Chocolate cereal bars","No preservatives, No added sugar, Rainforest Alliance","['en:no-preservatives', 'en:no-added-sugar', 'en:rainforest-alliance']",c,55,53,50,50,52.8,65,['Rainforest Alliance'],['sustainable_agriculture'],"['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.']",Environmental baseline uses Eco-Score c. Matched 1 scoring signal(s): Rainforest Alliance,https://images.openfoodfacts.org/images/products/401/180/057/1214/front_de.184.400.jpg
food,4021700900021,Puffreis mit Schokolade,kosta,"Milk chocolate biscuits, Chocolate covered bars with milk and cereals, Chocolate puffed rice","Tidy man, Triman","['fr:tidy-man', 'fr:triman']",e,15,50,50,50,36.0,55,[],[],[],Environmental baseline uses Eco-Score e. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/402/170/090/0021/front_en.105.400.jpg
food,4000539671104,Lindt Schokolade Goldhase,Lindt,"Confectioneries, Milk chocolates, Easter chocolate rabbits",Triman,['fr:triman'],d,30,50,50,50,42.0,55,[],[],[],Environmental baseline uses Eco-Score d. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/400/053/967/1104/front_en.113.400.jpg
food,5000159532969,Notenreep,BE-KIND,Chocolate cereal bars,"No gluten, No colorings","['en:no-gluten', 'en:no-colorings']",d,30,50,50,50,42.0,55,[],[],[],Environmental baseline uses Eco-Score d. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/500/015/953/2969/front_fr.3.400.jpg
food,4014400901405,Merci Milk Selection,"Merci, Storck","Chocolate candies, Milk chocolates, Chocolate filled with praline","Green Dot, Made in Germany, pure cocoa butter","['en:green-dot', 'en:made-in-germany', 'en:pure-cocoa-butter']",e,15,50,50,50,36.0,55,[],[],[],Environmental baseline uses Eco-Score e. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/401/440/090/1405/front_en.112.400.jpg
food,4011800523213,Schokoladenriegel Schoko Banane,CORNY,"Chocolate cereal bars, Banana cereal bars","No preservatives, Rainforest Alliance, UTZ Certified Cocoa","['en:no-preservatives', 'en:sustainable-farming', 'en:rainforest-alliance', 'en:utz-certified', 'en:utz-certified-cocoa']",b,75,53,50,50,60.8,65,['Rainforest Alliance'],['sustainable_agriculture'],"['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.']",Environmental baseline uses Eco-Score b. Matched 1 scoring signal(s): Rainforest Alliance,https://images.openfoodfacts.org/images/products/401/180/052/3213/front_de.137.400.jpg
food,7622300617820,Milka Oreo,"Milka, Mondelez, Oreo","Confectioneries, Filled milk chocolates","Cocoa Life, Green Dot, Made in Germany, Made in the EU, grüner-punkt","['en:cocoa-life', 'en:green-dot', 'en:made-in-germany', 'en:made-in-the-eu', 'en:grüner-punkt']",e,15,50,50,50,36.0,55,[],[],[],Environmental baseline uses Eco-Score e. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/762/230/061/7820/front_hu.91.400.jpg
food,4000417602510,Marzipan,Ritter Sport,"Filled chocolates, de:Gefüllte-halbbitter-schokolade, de:Marzipanschokolade","Green Dot, Rainforest Alliance Cocoa","['en:green-dot', 'en:rainforest-alliance', 'en:rainforest-alliance-cocoa']",unknown,55,53,50,50,52.8,25,['Rainforest Alliance'],['sustainable_agriculture'],"['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.']",No usable Eco-Score found; environmental score starts from the neutral baseline of 50. Matched 1 scoring signal(s): Rainforest Alliance,https://images.openfoodfacts.org/images/products/400/041/760/2510/front_en.63.400.jpg
food,4104420017849,Schoko Müsli,Alnatura,Mueslis with chocolate,"non-EU Agriculture, de:Bio 7 Initiative, EG-Öko-Verordnung, DE-ÖKO-001, EU Agriculture, de:agriculture-ue/non-ue, de:bio-européen, de:bio-label-german","['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'de:bio-7-initiative', 'de:eg-öko-verordnung', 'en:de-oko-001', 'en:eu-agriculture', 'de:agriculture-ue/non-ue', 'de:bio-européen', 'de:bio-label-german']",a,98,50,50,50,69.2,85,"['Biodynamic agriculture', 'organic']","['biodynamic_certification', 'organic_certification']","['Biodynamic farming promotes biodiversity, soil health, ecosystem sustainability, and often exceeds standard organic farming requirements.', 'Product has an organic certification/claim, indicating more sustainable agricultural production.']","Environmental baseline uses Eco-Score a. Matched 2 scoring signal(s): Biodynamic agriculture, organic",https://images.openfoodfacts.org/images/products/410/442/001/7849/front_en.89.400.jpg
food,5000159454346,M&M's Peanut,m&m's,"Chocolate covered nuts, chocolate-coated-peanuts",,[],f,5,50,50,50,32.0,55,[],[],[],Environmental baseline uses Eco-Score f. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/500/015/945/4346/front_en.13.400.jpg
food,20452735,Cookies Haselnusscreme & Schokolade,Grandino,"Chocolate biscuits, Filled drop cookies","Nutriscore Grade E, Roundtable on Sustainable Palm Oil, UTZ Certified","['en:sustainable', 'en:sustainable-farming', 'en:sustainable-palm-oil', 'en:nutriscore', 'en:nutriscore-grade-e', 'en:roundtable-on-sustainable-palm-oil', 'en:utz-certified']",c,58,55,50,50,54.4,75,"['UTZ Certified', 'Sustainable Palm Oil']","['sustainable_agriculture', 'sustainable_palm_oil']","['Certification promotes sustainable farming practices, responsible sourcing, and improved working conditions for farmers.', 'Palm oil sourced according to sustainability standards.']","Environmental baseline uses Eco-Score c. Matched 2 scoring signal(s): UTZ Certified, Sustainable Palm Oil",https://images.openfoodfacts.org/images/products/000/002/045/2735/front_de.99.400.jpg
food,4066447524413,Bio Schokomüsli ohne Rosinen,Dm,Mueslis with chocolate,"Fairtrade International, DE-ÖKO-001, HU-ÖKO-01, Made in Germany","['en:fair-trade', 'en:organic', 'en:eu-organic', 'en:fairtrade-international', 'en:de-oko-001', 'en:hu-oko-01', 'en:made-in-germany']",a-plus,90,60,50,50,68.5,85,"['Fair for Life', 'EU Organic']","['fairtrade_certification', 'organic_certification']","['Fair trade certification promoting fair wages, responsible supply chains, and sustainable livelihoods for producers and workers.', 'EU-recognized organic certification, especially relevant for products sold in Germany/EU.']","Environmental baseline uses Eco-Score a-plus. Matched 2 scoring signal(s): Fair for Life, EU Organic",https://images.openfoodfacts.org/images/products/406/644/752/4413/front_en.22.400.jpg
food,4000417602015,Schokolade Halbbitter,Ritter Sport,Dark chocolates,Rainforest Alliance,['en:rainforest-alliance'],e,20,53,50,50,38.8,65,['Rainforest Alliance'],['sustainable_agriculture'],"['Certification promotes sustainable agriculture, biodiversity protection, and improved livelihoods for farmers and workers.']",Environmental baseline uses Eco-Score e. Matched 1 scoring signal(s): Rainforest Alliance,https://images.openfoodfacts.org/images/products/400/041/760/2015/front_de.9.400.jpg
food,7610400013864,SWISS PREMIUM CHOCOLATE Alpenvollmilch Nuss,"Lindt, Lindt & Sprüngli",Milk chocolates with hazelnuts,Made in Swiss,['en:made-in-swiss'],e,15,50,50,50,36.0,55,[],[],[],Environmental baseline uses Eco-Score e. No positive or negative label evidence found in the current mapping.,https://images.openfoodfacts.org/images/products/761/040/001/3864/front_en.21.400.jpg
food,4066447576221,Schokocreme Haselnuss,"dmBio, Dm",Cocoa and hazelnuts spreads,"Fairtrade International, Vegan, EG-Öko-Verordnung, NL-BIO-01, No palm oil, V-Label International","['en:vegetarian', 'en:fair-trade', 'en:organic', 'en:eu-organic', 'en:fairtrade-international', 'en:vegan', 'de:eg-öko-verordnung', 'en:nl-bio-01', 'en:no-palm-oil', 'en:v-label-international']",c,63,60,50,63,60.3,100,"['Fair for Life', 'Biodynamic agriculture', 'Vegan', 'EG-Öko-Verordnung', 'Vegetarian']","['fairtrade_certification', 'biodynamic_certification', 'vegan_ethics', 'organic_certification', 'vegetarian_ethics']","['Fair trade certification promoting fair wages, responsible supply chains, and sustainable livelihoods for producers and workers.', 'Biodynamic farming promotes biodiversity, soil health, ecosystem sustainability, and often exceeds standard organic farming requirements.', 'Indicates products are free from animal-derived ingredients and support animal welfare principles.', 'EU organic regulation certifying environmentally friendly agricultural practices and reduced synthetic pesticide use.', 'Indicates reduced reliance on animal products and supports animal welfare considerations, though less strictly than vegan products.']","Environmental baseline uses Eco-Score c. Matched 5 scoring signal(s): Fair for Life, Biodynamic agriculture, Vegan, EG-Öko-Verordnung, Vegetarian",https://images.openfoodfacts.org/images/products/406/644/757/6221/front_de.52.400.jpg
food,4388844216297,Edel-Bitter Schokolade Kakao 85 %,REWE Bio,Dark chocolates,"Fairtrade International, EG-Öko-Verordnung, de:Pro Planet, CH-BIO-006, Climate Neutral product, European Vegetarian Union Vegan, FSC Mix, Made in Swiss, Naturland, Nutriscore Grade D","['en:vegetarian', 'en:fair-trade', 'en:organic', 'en:eu-organic', 'en:fairtrade-international', 'en:vegan', 'de:eg-öko-verordnung', 'de:pro-planet', 'en:ch-bio-006', 'en:climate-neutral-product', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan', 'en:fsc', 'en:fsc-mix', 'en:made-in-swiss', 'en:naturland', 'en:nutriscore', 'en:nutriscore-grade-d']",c,74,66,50,63,66.2,100,"['Naturland Fair', 'Fairtrade International', 'Biodynamic agriculture', 'Vegan', 'organic', 'FSC', 'Vegetarian']","['naturland_fair', 'fairtrade_certification', 'biodynamic_certification', 'vegan_ethics', 'organic_certification', 'sustainable_forestry', 'vegetarian_ethics']","['Combines organic farming requirements with fair trade principles, promoting environmental sustainability and fair treatment of producers.', 'Certification promotes fair prices, better working conditions, and sustainable livelihoods for farmers and workers in global supply chains.', 'Biodynamic farming promotes biodiversity, soil health, ecosystem sustainability, and often exceeds standard organic farming requirements.', 'Indicates products are free from animal-derived ingredients and support animal welfare principles.', 'Product has an organic certification/claim, indicating more sustainable agricultural production.', 'FSC certification promotes responsible forest management, sustainable sourcing of wood and paper products, and protection of biodiversity and ecosystems.', 'Indicates reduced reliance on animal products and supports animal welfare considerations, though less strictly than vegan products.']","Environmental baseline uses Eco-Score c. Matched 7 scoring signal(s): Naturland Fair, Fairtrade International, Biodynamic agriculture, Vegan, organic, FSC, Vegetarian",https://images.openfoodfacts.org/images/products/438/884/421/6297/front_de.89.400.jpg
